Issuer,Type,Lien,Election,Series,Cusip,Secondary Credit,Term,Maturity,Par Amount,Outstanding Amount,Coupon,Call Date,Call Price,Fed Tax,AMT
ABC USD,,,2017,2000C,000416K71,,,8/1/2026,"$1,351,103 ","$5,935,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416K89,,,8/1/2027,"$1,453,067 ","$6,235,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416K97,,,8/1/2028,"$1,443,892 ","$6,545,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L21,,,8/1/2029,"$1,431,788 ","$6,875,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L39,,,8/1/2030,"$1,423,279 ","$7,220,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L47,,,8/1/2031,"$1,411,038 ","$7,585,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L54,,,8/1/2032,"$1,398,096 ","$7,965,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L62,,,8/1/2033,"$1,388,763 ","$8,360,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2017,2000C,000416L70,,,8/1/2034,"$1,374,955 ","$8,775,000 ",0.00%,,,Tax-Exempt,
ABC USD,,,2018,2019A,000416T98,,,8/1/2026,"$580,000 ","$580,000 ",5.00%,,,Tax-Exempt,
ABC USD,,,2018,2019A,000416U21,,,8/1/2027,"$700,000 ","$700,000 ",5.00%,,,Tax-Exempt,
ABC USD,,,2018,2019A,000416U39,,,8/1/2028,"$830,000 ","$830,000 ",5.00%,,,Tax-Exempt,
ABC USD,,,2018,2019A,000416U47,,,8/1/2029,"$1,110,000 ","$1,110,000 ",5.00%,,,Tax-Exempt,
ABC USD,,,2018,2019A,000416U54,,,8/1/2030,"$1,265,000 ","$1,265,000 ",5.00%,8/1/2029,100,Tax-Exempt,
